        4|      -26.44
        7|      -24.94
        9|      -23.94
       12|      -22.44
       16|      -20.94
       18|      -19.44
       21|      -17.94
       23|      -16.94
       27|      -14.94
       31|      -12.94
       33|      -11.94
       35|      -10.94
       39|       -9.94
       40|       -8.94
       43|       -7.44
       46|       -5.44
       49|       -3.44
       53|       -1.94
       55|       -0.94
       56|        0.06
       58|        1.06
       60|        2.06
       63|        3.56
       64|        5.06
       71|        7.56
       73|        8.56
       75|        9.81
       76|       11.06
       82|       14.06
       85|       16.06
       88|       17.06
       90|       18.06
       92|       19.06
       94|       20.06
       96|       21.06
       99|       22.06
