    0|        1|        0
    1|        2|        0
    2|        4|        2
    3|        4|        1
    4|        6|        2
    5|        8|        1
    6|       14|        5
    7|       18|        4
    8|       28|        7
    9|       42|       13
   10|       58|       20
   11|       76|       37
   12|       78|        9
   13|      138|       42
   14|      192|       73
   15|      238|       46
   16|      384|      196
   17|      376|      169
   18|      414|      239
   19|      350|      292
   20|      116|      116
