04:07:25|           0|           0| 1|           0|           0|          98|3|    0| 9|Root node
04:07:25|          98|           0| 1|           0|         686|         196|3|    1| 9|Some node
04:07:25|         196|          98| 1|           0|           0|         294|3|    2| 9|Some node
04:07:25|         294|         196| 1|           0|         392|           0|3|    3| 9|Some node
04:07:25|         392|         196| 2|         294|           0|         490|3|    3| 9|Some node
04:07:25|         490|         392| 1|           0|         588|           0|3|    4| 9|Some node
04:07:25|         588|         392| 2|         490|           0|           0|3|    4| 9|Some node
04:07:25|         686|           0| 2|          98|        1470|         784|3|    1| 9|Some node
04:07:25|         784|         686| 1|           0|        1176|         882|3|    2| 9|Some node
04:07:25|         882|         784| 1|           0|        1078|         980|3|    3| 9|Some node
04:07:25|         980|         882| 1|           0|           0|           0|3|    4| 9|Some node
04:07:25|        1078|         784| 2|         882|           0|           0|3|    3| 9|Some node
04:07:25|        1176|         686| 2|         784|           0|        1274|3|    2| 9|Some node
04:07:25|        1274|        1176| 1|           0|           0|        1372|3|    3| 9|Some node
04:07:25|        1372|        1274| 1|           0|           0|           0|3|    4| 9|Some node
04:07:25|        1470|           0| 3|         686|           0|           0|3|    1| 9|Some node
